contact_id,account_id,email,first_name,last_name,title,contact_status,job_persona,job_level,created_date,mql_date,mkto_contact_score,is_mql,has_lead_origin,primary_lead_id,no_longer_with_company,has_opted_out,email_bounced
ec8d33dce6a34783,9220006c997c4ef7,cheryl.gray@snyderllc.com,Cheryl,Gray,"Education officer, environmental",Active,Champion,Individual Contributor,2023-06-01,,6,False,True,0ebf2dbef4f1469e,False,False,True
814bdd09550f42c3,70e77fbbd13d4146,matthew.beard@beardpetersa.com,Matthew,Beard,"Engineer, aeronautical",Active,Technical Buyer,Individual Contributor,2024-02-28,,197,False,True,ae3cd141e330422b,False,False,False
df57f15197324cd5,47f5666f432f4226,tracy.chang@alvarezjosep.com,Tracy,Chang,,Qualified,End User,,2024-09-21,,146,False,True,13bb24dac6714737,False,False,False
36b38b499e364690,d3856d7504d241bf,thomas85@yahoo.com,Heather,Torres,"Physicist, medical",MQL,CISO,Individual Contributor,2023-10-02,2024-12-14,98,True,True,1dcc4d415bb048df,True,True,False
398965a6017b4a2c,de39ace6e146477e,kristopher.hall@leewilsonand.com,Kristopher,Hall,,MQL,Non-Prospect,,2023-06-01,2024-11-03,130,True,True,36e4bdb71bf1431c,False,True,False
2326855f8f094adf,0aebdf7f141a4836,support@carlson.com,Joshua,Lawrence,Ergonomist,MQL,Technical Buyer,Manager,2022-01-15,2025-03-09,81,True,True,70d6c9ba61504a94,False,False,False
25a0f19c2b21400b,,amanda.hill@tranltd.com,Amanda,Hill,,Active,End User,,2023-08-26,,52,False,True,9e967b3c992f4ece,False,False,True
20835f536a1f4d12,ee775723bd824e24,audrey.harrison@peterson-she.com,Audrey,Harrison,Forensic psychologist,Active,,Individual Contributor,2022-01-15,,99,False,True,bb42e14aa28f469a,False,False,False
bd276eb5fd9541b9,3f85c46f54da4e47,travis.ray@brownhernand.com,Travis,Ray,,Attempted,End User,Individual Contributor,2025-02-15,,66,False,True,c180ae05927c4efd,False,False,False
d64ffb1512754f6b,2f8f3a0f6a074cb3,kimberlyjames@gmail.com,Angela,Butler,,Active,End User,Manager,2023-06-30,,167,False,True,00fc987debc44352,False,True,False
d8da93ed787f44e0,74f4467873ba41b3,contact@choi.com,Kevin,Oliver,"Geneticist, molecular",Attempted,Economic Buyer,Manager,2024-02-01,,48,False,True,a2b375b20e9b43d0,False,False,False
